"story_id","release","epic_id","epic_title","capability_id","capability_title","channel","persona","story","acceptance_criteria"
"SIBA-US-001","R1","E01","Access, Identity, And Role Governance","E01-C01","Secure login and role-based feature gating","Website, ERP, Mobile","Owner/Admin","As an Owner/Admin, I want secure sign-in with API key and role context so that each user sees only permitted modules.","User must authenticate before protected endpoints are available. || Access must be restricted by role values owner, admin, parent, teacher, driver. || Unauthorized access attempts must return explicit denial and be logged with timestamp and actor. || Session/token expiration behavior must be consistent across Website, ERP, Mobile."
"SIBA-US-002","R1","E01","Access, Identity, And Role Governance","E01-C01","Secure login and role-based feature gating","ERP","Owner/Admin","As an Owner/Admin, I want role assignment management so that one user can hold one or more approved responsibilities.","Admin can map user_id to role_id and manage status active/inactive. || Duplicate active role assignments for same user and role are blocked. || Any role assignment update is auditable with created_at and updated_at. || Inactive role assignment immediately removes menu visibility and action permissions."
"SIBA-US-003","R1","E01","Access, Identity, And Role Governance","E01-C01","Secure login and role-based feature gating","Website, Mobile","Parent, Teacher, Driver","As an end user, I want profile and role-aware home views so that I can access only relevant tasks.","Parent home shows children, invoices, attendance summary, notices. || Teacher home shows classes, attendance actions, assessments, assignment grading queue. || Driver home shows route, stop sequence, assignment status, alerts. || Role change in ERP reflects in Website and Mobile on next session refresh."
"SIBA-US-004","R1","E02","Admissions And Student Lifecycle","E02-C01","Application intake and review workflow","Website, ERP","Reception/Admissions Staff","As admissions staff, I want to register a new applicant with mandatory identity and guardian details so that applications are complete on first entry.","Applicant capture enforces mandatory fields from student and parent entities. || admission_status defaults to not_started and admission record is generated. || Duplicate application number is prevented. || Validation errors must specify offending field and reason."
"SIBA-US-005","R1","E02","Admissions And Student Lifecycle","E02-C01","Application intake and review workflow","ERP","Student Counsellor","As a Student Counsellor, I want to review and update admission status with remarks so that eligibility decisions are traceable.","Counsellor can move review_status through not_started, in_review, accepted, rejected. || reviewed_by_user_id and reviewed_at are auto-captured on decision. || Rejection requires remarks. || Accepted application triggers enrollment-ready state event."
"SIBA-US-006","R1","E02","Admissions And Student Lifecycle","E02-C01","Application intake and review workflow","ERP","Reception/Admissions Staff","As admissions staff, I want one-click conversion of accepted applicants to active students so that onboarding is consistent and fast.","Conversion creates student record linked to parent and user. || class_id assignment is mandatory before activation. || Student status becomes active and admission_date is stored. || System generates audit record linking admission_id to student_id."
"SIBA-US-007","R1","E02","Admissions And Student Lifecycle","E02-C02","Parent and student relationship integrity","ERP","Reception/Admissions Staff","As admissions staff, I want to map student to parent/guardian relation type so that communication and billing follow the right contact.","relation_type must be father, mother, or guardian. || At least one active guardian relation is required for active student. || Parent contact and address are reusable across siblings. || Inactive parent relation blocks billing dispatch to that contact."
"SIBA-US-008","R1","E03","Academic Structure And Timetable","E03-C01","Class and section setup","ERP","Owner/Admin","As an admin, I want class and section configuration with teacher ownership so that academic planning is structured.","class_level, section, room_no, class_teacher_id are mandatory. || Duplicate class_level + section in same academic cycle is blocked. || Class status controls whether attendance and assessments can be created. || Class updates retain historical assignment trail."
"SIBA-US-009","R1","E03","Academic Structure And Timetable","E03-C01","Class and section setup","ERP","Owner/Admin","As an admin, I want subject catalog management by subject groups so that timetable and evaluation use normalized definitions.","Subject requires name, subject_group, and book_name. || subject_group only allows science, arts, language, social. || Subject can be marked inactive but not deleted if referenced by period or exam schedule. || Subject edits are versioned for change history."
"SIBA-US-010","R1","E03","Academic Structure And Timetable","E03-C02","Timetable and period mapping","ERP, Mobile","Owner/Admin, Teacher","As an admin and teacher, I want period schedules with teacher and subject mapping so that class delivery is conflict-free.","Period requires class_id, subject_id, teacher_id, start_time, end_time. || Teacher cannot be allocated to overlapping periods. || Mobile teacher view displays period list for the day. || Schedule modifications trigger teacher notification for impacted periods."
